,Unnamed: 0_level_0,ICU low care (frei),ICU low care (belegt),ICU low care in 24 h (Anzahl),ICU high care (frei),ICU high care (belegt),ICU high care in 24 h (Anzahl),ICU ECMO (frei),ICU ECMO (belegt),ICU ECMO care in 24 h (Anzahl),Anzahl ECMO-FÃ¤lle pro Jahr,COVID-19 aktuell in Behandlung,COVID-19 genesen,COVID-19 beatmet,COVID-19 verstorben,date
,Bundesland,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,
0,BB,125,134,144,174,222,305,7,1,7,65,41,7,34,1,2020-04-01 02:57:00
1,BE,89,156,120,207,379,210,19,2,20,216,69,11,55,9,2020-04-01 02:57:00
2,BW,221,305,299,455,717,460,47,10,36,463,299,58,246,39,2020-04-01 02:57:00
3,BY,287,362,346,537,956,612,56,12,44,718,338,64,271,36,2020-04-01 02:57:00
4,HB,47,9,43,32,23,25,4,1,3,20,6,3,3,0,2020-04-01 02:57:00
5,HE,139,212,166,305,458,251,30,7,14,450,94,33,76,6,2020-04-01 02:57:00
6,HH,105,115,93,189,222,166,18,6,18,362,56,19,48,7,2020-04-01 02:57:00
7,MV,86,72,87,154,140,144,14,1,12,142,7,0,4,1,2020-04-01 02:57:00
8,NI,185,153,194,349,305,274,30,4,17,323,84,16,56,5,2020-04-01 02:57:00
9,NRW,533,610,572,979,1471,883,64,20,64,1188,301,157,254,43,2020-04-01 02:57:00
10,RP,103,102,92,167,235,182,9,5,7,171,64,8,44,1,2020-04-01 02:57:00
11,SH,94,96,89,312,316,265,12,1,9,128,38,3,32,0,2020-04-01 02:57:00
12,SL,35,37,88,76,88,130,14,0,15,165,28,8,22,4,2020-04-01 02:57:00
13,SN,174,169,195,317,408,330,25,2,18,80,30,2,24,1,2020-04-01 02:57:00
14,ST,104,61,97,183,160,146,17,0,14,50,16,5,7,2,2020-04-01 02:57:00
15,TH,81,53,90,147,135,203,8,1,8,150,15,0,13,3,2020-04-01 02:57:00
