,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09
1,3.0,4.0,6.0,6.0,7.0,13.0,13.0,26.0,26.0,39.0,39.0,44.0,44.0,64.0,85.0,99.0,130.0,189.0,189.0,217.0,228.0,228.0,251.0,271.0,312.0,338.0,362.0,362.0,362.0,362.0
2,1.0,2.0,3.0,3.0,4.0,7.0,7.0,14.0,17.0,21.0,21.0,25.0,25.0,36.0,36.0,39.0,45.0,55.0,65.0,73.0,84.0,91.0,93.0,100.0,104.0,109.0,112.0,112.0,122.0,122.0
3,3.0,3.0,5.0,5.0,5.0,5.0,5.0,17.0,45.0,45.0,45.0,45.0,45.0,82.0,106.0,144.0,182.0,196.0,216.0,216.0,236.0,245.0,264.0,275.0,304.0,304.0,338.0,338.0,351.0,351.0
4,4.0,4.0,9.0,9.0,9.0,9.0,9.0,28.0,28.0,67.0,67.0,117.0,117.0,224.0,233.0,263.0,333.0,369.0,385.0,413.0,432.0,651.0,695.0,783.0,821.0,861.0,915.0,915.0,1003.0,1003.0
5,5.0,6.0,8.0,8.0,13.0,29.0,29.0,39.0,62.0,71.0,71.0,83.0,83.0,89.0,121.0,153.0,175.0,178.0,185.0,186.0,190.0,192.0,203.0,219.0,224.0,227.0,230.0,230.0,241.0,241.0
6,6.0,12.0,19.0,19.0,26.0,45.0,45.0,78.0,101.0,134.0,134.0,167.0,167.0,197.0,223.0,254.0,273.0,299.0,372.0,392.0,419.0,475.0,544.0,585.0,639.0,684.0,694.0,694.0,779.0,782.0
7,6.0,7.0,15.0,15.0,26.0,43.0,43.0,61.0,76.0,92.0,92.0,120.0,120.0,159.0,182.0,210.0,226.0,259.0,278.0,295.0,308.0,329.0,345.0,379.0,400.0,411.0,421.0,421.0,439.0,441.0
8,13.0,15.0,17.0,17.0,21.0,35.0,35.0,60.0,99.0,110.0,110.0,121.0,121.0,141.0,154.0,171.0,191.0,191.0,201.0,264.0,287.0,320.0,348.0,368.0,395.0,398.0,404.0,404.0,434.0,436.0
9,1.0,2.0,3.0,3.0,3.0,4.0,4.0,12.0,21.0,24.0,24.0,33.0,33.0,45.0,55.0,62.0,74.0,89.0,110.0,115.0,125.0,142.0,162.0,175.0,198.0,205.0,208.0,205.0,242.0,244.0
10,23.0,43.0,65.0,65.0,82.0,123.0,123.0,193.0,234.0,323.0,323.0,362.0,362.0,462.0,493.0,596.0,648.0,705.0,737.0,761.0,833.0,881.0,945.0,1003.0,1070.0,1094.0,1117.0,1117.0,1203.0,1204.0
11,12.0,13.0,18.0,18.0,34.0,53.0,53.0,79.0,114.0,150.0,150.0,191.0,191.0,227.0,254.0,284.0,325.0,346.0,386.0,414.0,442.0,492.0,534.0,586.0,633.0,673.0,675.0,675.0,757.0,758.0
