,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09
1,,,3.0,2.0,1.0,7.0,6.0,13.0,13.0,13.0,13.0,5.0,5.0,20.0,41.0,35.0,45.0,90.0,59.0,28.0,39.0,11.0,23.0,43.0,61.0,67.0,50.0,24.0,0.0,0.0
2,,,2.0,1.0,1.0,4.0,3.0,7.0,10.0,7.0,4.0,4.0,4.0,11.0,11.0,3.0,9.0,16.0,20.0,18.0,19.0,18.0,9.0,9.0,11.0,9.0,8.0,3.0,10.0,10.0
3,,,2.0,2.0,0.0,0.0,0.0,12.0,40.0,28.0,0.0,0.0,0.0,37.0,61.0,62.0,76.0,52.0,34.0,20.0,20.0,29.0,28.0,30.0,40.0,29.0,34.0,34.0,13.0,13.0
4,,,5.0,5.0,0.0,0.0,0.0,19.0,19.0,39.0,39.0,50.0,50.0,107.0,116.0,39.0,100.0,106.0,52.0,44.0,47.0,238.0,263.0,132.0,126.0,78.0,94.0,54.0,88.0,88.0
5,,,3.0,2.0,5.0,21.0,16.0,10.0,33.0,32.0,9.0,12.0,12.0,6.0,38.0,64.0,54.0,25.0,10.0,8.0,5.0,6.0,13.0,27.0,21.0,8.0,6.0,3.0,11.0,11.0
6,,,13.0,7.0,7.0,26.0,19.0,33.0,56.0,56.0,33.0,33.0,33.0,30.0,56.0,57.0,50.0,45.0,99.0,93.0,47.0,83.0,125.0,110.0,95.0,99.0,55.0,10.0,85.0,88.0
7,,,9.0,8.0,11.0,28.0,17.0,18.0,33.0,31.0,16.0,28.0,28.0,39.0,62.0,51.0,44.0,49.0,52.0,36.0,30.0,34.0,37.0,50.0,55.0,32.0,21.0,10.0,18.0,20.0
8,,,4.0,2.0,4.0,18.0,14.0,25.0,64.0,50.0,11.0,11.0,11.0,20.0,33.0,30.0,37.0,20.0,10.0,73.0,86.0,56.0,61.0,48.0,47.0,30.0,9.0,6.0,30.0,32.0
9,,,2.0,1.0,0.0,1.0,1.0,8.0,17.0,12.0,3.0,9.0,9.0,12.0,22.0,17.0,19.0,27.0,36.0,26.0,15.0,27.0,37.0,33.0,36.0,30.0,10.0,0.0,34.0,39.0
10,,,42.0,22.0,17.0,58.0,41.0,70.0,111.0,130.0,89.0,39.0,39.0,100.0,131.0,134.0,155.0,109.0,89.0,56.0,96.0,120.0,112.0,122.0,125.0,91.0,47.0,23.0,86.0,87.0
11,,,6.0,5.0,16.0,35.0,19.0,26.0,61.0,71.0,36.0,41.0,41.0,36.0,63.0,57.0,71.0,62.0,61.0,68.0,56.0,78.0,92.0,94.0,99.0,87.0,42.0,2.0,82.0,83.0
12,,,1.0,1.0,1.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,25.0,55.0,37.0,41.0,60.0,44.0,18.0,20.0,26.0,11.0,30.0,33.0,47.0,58.0,19.0,47.0,47.0
13,,,10.0,10.0,2.0,15.0,13.0,30.0,31.0,38.0,37.0,0.0,0.0,69.0,119.0,83.0,62.0,68.0,62.0,44.0,31.0,61.0,81.0,55.0,32.0,39.0,57.0,0.0,15.0,64.0
14,,,-3.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,93.0,104.0,14.0,4.0,12.0,17.0,24.0,24.0,19.0,24.0,22.0,11.0,1.0,44.0,43.0,40.0,41.0
15,,,5.0,4.0,11.0,13.0,2.0,0.0,13.0,18.0,5.0,18.0,18.0,5.0,40.0,36.0,20.0,27.0,8.0,35.0,35.0,48.0,65.0,18.0,4.0,3.0,9.0,9.0,42.0,42.0
